Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,509,247,2.86,2.58,15.63,14.79
Romania TV,381,199,2.14,2.08,11.69,11.94
Kanal D,305,127,1.72,1.33,9.37,7.63
Antena 1,277,139,1.55,1.45,8.49,8.29
Antena 3,208,128,1.17,1.33,6.37,7.64
DigiSport 1,83,57,0.47,0.6,2.56,3.43
Prima TV,74,32,0.42,0.33,2.27,1.9
TVR 1,71,35,0.4,0.36,2.18,2.07
B1TV,66,39,0.37,0.41,2.03,2.34
National TV,65,30,0.37,0.32,2,1.82
Digi 24,58,41,0.32,0.43,1.77,2.44
Cartoon Network,56,26,0.32,0.27,1.73,1.57
Realitatea TV,53,32,0.3,0.33,1.61,1.9
Antena Stars,52,23,0.29,0.24,1.59,1.37
Pro 2,48,23,0.27,0.24,1.46,1.38
TVR 2,47,24,0.26,0.25,1.44,1.42
Pro Cinema,43,17,0.24,0.17,1.32,0.99
Happy Channel,42,20,0.24,0.21,1.29,1.22
Boomerang,42,19,0.24,0.2,1.29,1.12
ETNO,39,12,0.22,0.13,1.18,0.72
Nickelodeon,37,16,0.21,0.16,1.15,0.94
Minimax,35,15,0.2,0.15,1.07,0.87
Disney Junior,32,15,0.18,0.15,0.99,0.87
Disney,30,13,0.17,0.14,0.92,0.77
Diva,27,20,0.15,0.21,0.84,1.2
AXN,27,15,0.15,0.16,0.82,0.9
Look Plus,21,8,0.12,0.08,0.66,0.46
Film Cafe,20,10,0.11,0.11,0.6,0.62
DigiSport 2,19,14,0.11,0.15,0.58,0.86
Favorit TV,17,7,0.1,0.08,0.54,0.44
Paramount,16,9,0.09,0.1,0.48,0.56
TNT,16,7,0.09,0.07,0.49,0.42
TLC,15,9,0.08,0.09,0.46,0.54
History,15,13,0.08,0.13,0.46,0.75
Nick JR,15,7,0.09,0.07,0.47,0.4
Eurosport 1,14,10,0.08,0.11,0.42,0.61
Pro X,14,8,0.08,0.08,0.44,0.45
Pro Gold,13,5,0.08,0.05,0.41,0.3
Kiss TV,12,5,0.07,0.05,0.38,0.28
Comedy Central,11,10,0.06,0.1,0.35,0.58
N24 PLUS,10,3,0.05,0.03,0.29,0.16
Nicktoons,9,5,0.05,0.06,0.28,0.33
Discovery,8,6,0.04,0.06,0.24,0.35
Telekom Sport 1,8,4,0.05,0.04,0.26,0.24
ZU TV,7,3,0.04,0.03,0.23,0.16
TV Paprika,7,5,0.04,0.05,0.22,0.31
Bollywood TV,7,4,0.04,0.04,0.21,0.24
DigiSport 3,7,5,0.04,0.05,0.21,0.31
TVR 3,7,3,0.04,0.03,0.21,0.17
National Geographic,6,4,0.03,0.04,0.17,0.25
Taraf TV,6,2,0.04,0.02,0.2,0.09
National Geographic Wild,6,4,0.03,0.04,0.19,0.26
AXN White,6,3,0.03,0.03,0.18,0.19
Eurosport 2,6,4,0.04,0.05,0.2,0.26
Look Sport,6,2,0.03,0.02,0.18,0.11
Music Channel,5,2,0.03,0.02,0.15,0.13
AXN Black,5,2,0.03,0.02,0.14,0.14
AMC,5,3,0.03,0.03,0.16,0.18
Travel Channel,5,5,0.03,0.05,0.16,0.28
U TV,4,3,0.02,0.03,0.11,0.16
Animal Planet,3,1,0.02,0.01,0.1,0.06
Hit Music,3,2,0.02,0.02,0.08,0.13
DigiSport 4,3,2,0.02,0.03,0.1,0.14
Magic TV,2,2,0.01,0.02,0.06,0.1
E! Entertainment,1,0,0,0.01,0.02,0.03
Rock TV,1,1,0,0.01,0.02,0.03
Telekom Sport 3,1,0,0.01,0,0.04,0.02
VH1,1,1,0,0.01,0.02,0.03
MTV,0,0,0,0,0,0
