Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,608,305,3.44,3.19,17.31,16.6
Antena 1,522,276,2.96,2.89,14.86,15.02
Kanal D,491,216,2.78,2.26,13.96,11.75
Romania TV,235,122,1.33,1.28,6.69,6.64
Antena 3,165,103,0.93,1.08,4.68,5.6
DigiSport 1,75,46,0.42,0.48,2.12,2.48
Happy Channel,72,41,0.41,0.43,2.06,2.24
National TV,68,29,0.39,0.31,1.94,1.6
TVR 1,67,30,0.38,0.31,1.92,1.62
Prima TV,62,31,0.35,0.32,1.75,1.68
Antena Stars,60,28,0.34,0.29,1.71,1.51
Digi 24,55,41,0.31,0.43,1.55,2.24
Realitatea Plus,47,27,0.27,0.28,1.34,1.47
Pro Cinema,44,20,0.25,0.21,1.26,1.09
TVR 2,42,22,0.24,0.23,1.2,1.18
Pro 2,42,20,0.24,0.21,1.19,1.08
Diva,39,28,0.22,0.3,1.11,1.54
Boomerang,36,15,0.2,0.16,1.02,0.81
ETNO,34,11,0.19,0.11,0.96,0.58
B1TV,31,18,0.18,0.19,0.88,0.99
Cartoon Network,31,11,0.18,0.12,0.88,0.6
Film Cafe,30,14,0.17,0.15,0.84,0.78
AXN,24,14,0.13,0.14,0.68,0.74
Nickelodeon,22,11,0.13,0.11,0.64,0.6
Disney,19,9,0.11,0.09,0.53,0.49
Disney Junior,19,10,0.11,0.1,0.53,0.53
TNT,19,11,0.11,0.11,0.54,0.59
AMC,18,10,0.1,0.11,0.52,0.56
DigiSport 2,18,13,0.1,0.14,0.51,0.72
History,16,10,0.09,0.1,0.46,0.53
Minimax,15,7,0.09,0.07,0.44,0.36
Nick JR,14,9,0.08,0.09,0.4,0.48
Cinemaraton,14,5,0.08,0.05,0.4,0.25
Favorit TV,12,5,0.07,0.06,0.35,0.29
National Geographic,11,7,0.06,0.08,0.3,0.4
Look Sport+,11,6,0.06,0.06,0.31,0.3
Bollywood TV,11,5,0.06,0.05,0.31,0.25
Taraf TV,10,4,0.06,0.05,0.29,0.24
AXN White,10,8,0.05,0.08,0.27,0.42
Nicktoons,10,4,0.05,0.04,0.27,0.22
TV1000,10,7,0.06,0.07,0.28,0.35
Eurosport 1,9,7,0.05,0.07,0.26,0.39
Pro X,9,5,0.05,0.06,0.26,0.29
Pro Gold,9,5,0.05,0.05,0.26,0.26
Comedy Central,9,7,0.05,0.08,0.24,0.4
Discovery,8,6,0.05,0.07,0.24,0.35
N24 PLUS,8,3,0.05,0.03,0.23,0.14
National Geographic Wild,8,5,0.04,0.05,0.22,0.29
TLC,8,6,0.04,0.06,0.22,0.31
Kiss TV,7,2,0.04,0.03,0.2,0.14
Telekom Sport 1,7,3,0.04,0.03,0.19,0.16
TV Paprika,7,5,0.04,0.05,0.2,0.28
DigiSport 3,7,5,0.04,0.05,0.2,0.28
ZU TV,6,3,0.03,0.04,0.16,0.18
Eurosport 2,6,5,0.03,0.05,0.17,0.25
HGTV,6,5,0.03,0.05,0.17,0.27
TVR 3,5,3,0.03,0.03,0.14,0.15
Music Channel,4,1,0.02,0.01,0.1,0.06
JIM JAM,4,1,0.02,0.01,0.11,0.07
Aleph News,4,2,0.02,0.02,0.12,0.12
U TV,3,2,0.01,0.02,0.07,0.11
Magic TV,3,2,0.01,0.02,0.07,0.12
DigiSport 4,3,2,0.02,0.02,0.08,0.12
AXN Black,2,2,0.01,0.02,0.06,0.09
Hit Music,2,1,0.01,0.01,0.05,0.07
Look Sport,2,1,0.01,0.01,0.06,0.05
Travel Channel,2,1,0.01,0.01,0.06,0.08
E! Entertainment,1,1,0.01,0.01,0.04,0.06
Telekom Sport 3,1,0,0,0,0.02,0.02
Duck TV,1,1,0,0.01,0.02,0.03
Canal 33,1,0,0,0,0.01,0.02
Rock TV,0,0,0,0,0.01,0.02
Metropola TV,0,0,0,0,0.01,0.01
