Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,583,285,3.31,2.99,18.96,17.42
Antena 1,378,206,2.15,2.16,12.31,12.6
Kanal D,307,136,1.74,1.43,9.99,8.31
Romania TV,203,114,1.15,1.2,6.61,7
Antena 3,181,107,1.03,1.12,5.88,6.52
Happy Channel,84,46,0.48,0.49,2.74,2.84
Antena Stars,76,40,0.43,0.42,2.48,2.44
Digi 24,64,43,0.37,0.45,2.1,2.65
DigiSport 1,64,39,0.37,0.41,2.09,2.41
TVR 1,62,31,0.35,0.33,2.01,1.91
National TV,61,30,0.35,0.32,2,1.83
Prima TV,56,28,0.32,0.29,1.82,1.71
Realitatea Plus,53,30,0.3,0.31,1.73,1.83
Pro Cinema,46,21,0.26,0.22,1.49,1.3
TVR 2,41,22,0.23,0.23,1.34,1.32
Film Cafe,35,16,0.2,0.17,1.15,0.96
Diva,33,24,0.19,0.25,1.06,1.45
Nickelodeon,31,11,0.17,0.12,1,0.67
AXN,28,18,0.16,0.19,0.9,1.11
B1TV,26,14,0.15,0.15,0.86,0.88
Acasa,25,11,0.14,0.12,0.82,0.68
AMC,24,11,0.14,0.12,0.78,0.7
Boomerang,23,10,0.13,0.11,0.76,0.63
Cartoon Network,20,7,0.11,0.07,0.65,0.41
Disney Junior,20,10,0.11,0.11,0.64,0.63
Warner TV,16,9,0.09,0.1,0.53,0.57
DigiSport 2,16,10,0.09,0.11,0.52,0.63
Eurosport 1,15,11,0.08,0.11,0.49,0.65
ETNO,15,4,0.09,0.04,0.5,0.24
Pro Arena,15,8,0.08,0.08,0.48,0.48
TV1000,15,8,0.08,0.08,0.48,0.47
Cinemaraton,15,7,0.08,0.08,0.48,0.44
Acasa Gold,14,8,0.08,0.09,0.44,0.51
Disney,12,7,0.07,0.07,0.39,0.43
Minimax,12,3,0.07,0.03,0.38,0.19
Comedy Central,12,10,0.07,0.11,0.38,0.62
Nicktoons,12,5,0.07,0.05,0.38,0.28
History,11,9,0.06,0.09,0.37,0.53
National Geographic,10,7,0.06,0.07,0.32,0.42
Prima Sport 1,10,5,0.06,0.05,0.33,0.29
Nick JR,10,7,0.06,0.07,0.32,0.42
Bollywood TV,10,7,0.05,0.07,0.31,0.41
TeenNick,9,6,0.05,0.06,0.31,0.36
Discovery,8,6,0.04,0.06,0.25,0.37
Favorit TV,8,2,0.04,0.02,0.25,0.14
Eurosport 2,8,5,0.04,0.05,0.25,0.31
Orange Sport 1,8,4,0.04,0.04,0.25,0.23
TV Paprika,8,6,0.05,0.06,0.27,0.34
TLC,7,4,0.04,0.05,0.23,0.27
N24 PLUS,6,3,0.03,0.03,0.18,0.16
AXN White,6,4,0.03,0.04,0.18,0.24
DigiSport 3,6,3,0.03,0.04,0.19,0.21
HGTV,6,4,0.03,0.04,0.18,0.25
TraLaLa TV,6,2,0.03,0.02,0.2,0.11
Kiss TV,5,3,0.03,0.03,0.16,0.17
Taraf TV,5,1,0.03,0.01,0.18,0.09
National Geographic Wild,5,4,0.03,0.04,0.18,0.22
ZU TV,5,4,0.03,0.04,0.17,0.23
JIM JAM,5,2,0.03,0.02,0.16,0.14
Viasat History,5,4,0.03,0.04,0.15,0.25
Viasat Explore,5,3,0.03,0.04,0.18,0.21
AXN Black,4,2,0.02,0.02,0.12,0.12
DigiSport 4,3,2,0.02,0.02,0.1,0.12
Travel Channel,3,2,0.02,0.02,0.1,0.14
U TV,2,2,0.01,0.02,0.07,0.09
Prima Sport 2,2,1,0.01,0.01,0.05,0.05
Magic TV,2,1,0.01,0.01,0.05,0.04
Duck TV,2,1,0.01,0.02,0.06,0.09
Aleph News,2,2,0.01,0.02,0.08,0.1
A7 TV,2,2,0.01,0.02,0.07,0.11
CBS Reality,2,2,0.01,0.02,0.08,0.12
Music Channel,1,1,0.01,0.01,0.04,0.04
Hit Music,1,1,0,0.01,0.02,0.03
E! Entertainment,1,1,0.01,0.01,0.04,0.05
Orange Sport 3,1,0,0,0,0.03,0.02
Metropola TV,1,1,0,0.01,0.03,0.03
NCN,1,1,0,0.01,0.02,0.03
Rock TV,0,0,0,0,0.01,0.02
Canal 33,0,0,0,0,0.01,0.01
