Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,822,391,4.44,3.88,15.99,14.63
Antena 1,695,363,3.76,3.6,13.53,13.57
Kanal D,394,190,2.13,1.89,7.67,7.13
Antena 3,303,203,1.64,2.01,5.9,7.58
Romania TV,220,118,1.19,1.17,4.27,4.42
TVR 1,179,69,0.96,0.69,3.47,2.59
Prima TV,161,81,0.87,0.81,3.13,3.04
National TV,147,78,0.8,0.77,2.87,2.91
Realitatea TV,113,59,0.61,0.58,2.2,2.19
B1TV,110,62,0.59,0.62,2.13,2.34
TVR 2,100,41,0.54,0.41,1.95,1.54
Antena Stars,100,56,0.54,0.55,1.94,2.09
Disney,97,44,0.52,0.44,1.88,1.66
Acasa,89,56,0.48,0.55,1.73,2.09
ETNO,86,27,0.46,0.26,1.66,0.99
Boomerang,67,36,0.36,0.36,1.3,1.35
Cartoon Network,65,27,0.35,0.27,1.27,1.02
Digi 24,64,53,0.35,0.53,1.25,1.99
Pro Cinema,63,28,0.34,0.28,1.22,1.05
Disney Junior,53,35,0.28,0.35,1.02,1.3
Favorit TV,50,17,0.27,0.17,0.98,0.65
Minimax/A+,43,11,0.23,0.11,0.84,0.4
Sport.ro,39,19,0.21,0.19,0.76,0.71
AXN,39,26,0.21,0.25,0.76,0.95
Nickelodeon,36,21,0.19,0.21,0.69,0.79
Diva,28,21,0.15,0.21,0.54,0.79
Taraf TV,26,11,0.14,0.1,0.5,0.39
Euforia,23,17,0.12,0.16,0.44,0.62
Kiss TV,20,10,0.11,0.1,0.39,0.39
ZU TV,20,10,0.11,0.1,0.39,0.39
Discovery,18,9,0.1,0.09,0.35,0.34
National Geographic,18,12,0.1,0.12,0.36,0.44
Acasa Gold,19,6,0.1,0.06,0.37,0.24
History Channel,17,13,0.09,0.12,0.32,0.47
Eurosport,14,11,0.08,0.11,0.28,0.4
Film Cafe,15,7,0.08,0.07,0.29,0.26
Universal Channel,15,11,0.08,0.11,0.29,0.41
Dolce Sport,13,3,0.07,0.03,0.26,0.1
National Geographic Wild,11,6,0.06,0.06,0.21,0.21
EuroSport 2,10,8,0.06,0.08,0.2,0.3
TCM,12,7,0.06,0.07,0.23,0.25
Paramount,12,11,0.06,0.11,0.23,0.4
U TV,9,6,0.05,0.06,0.17,0.23
Animal Planet,9,5,0.05,0.05,0.17,0.18
AXN White,8,6,0.05,0.06,0.16,0.21
TV Paprika,9,7,0.05,0.07,0.18,0.28
MTV Ro,7,4,0.04,0.04,0.13,0.15
Music Channel,7,4,0.04,0.04,0.13,0.16
TV H,7,2,0.04,0.02,0.14,0.07
AMC,7,3,0.04,0.03,0.13,0.1
National 24 PLUS,6,2,0.03,0.02,0.11,0.09
TV Neptun,5,2,0.03,0.02,0.09,0.07
AXN Black,6,4,0.03,0.04,0.12,0.15
Look Plus,6,3,0.03,0.03,0.11,0.1
The Fishing and Hunting Channel,6,3,0.03,0.03,0.11,0.12
TLC,4,3,0.02,0.03,0.08,0.12
Hit Music,4,3,0.02,0.03,0.08,0.12
Comedy Central Extra,4,4,0.02,0.03,0.08,0.13
CBS Reality,2,1,0.01,0.01,0.03,0.04
Look TV,3,1,0.01,0.01,0.05,0.03
Others,609,327,3.29,3.24,11.85,12.23
